,values
GO:0048018,2.8987494
GO:0001664,1.5307792
GO:0070851,1.4779302
GO:0005126,0.35582078
GO:0019905,0.27419505
GO:0015631,0.23988011
GO:0008236,0.18869317
GO:0070001,0.15910217
GO:0070325,0.12703964
GO:0045309,0.10688849
GO:0017022,0.10130896
GO:0042805,0.09797664
GO:0035254,0.08392777
GO:0016616,0.06274591
GO:0019956,0.060098726
GO:0004674,0.04922826
GO:0019199,0.044951793
GO:0019209,0.044670086
GO:0004175,0.027247744
GO:0004896,0.024285365
GO:0008146,0.022904953
GO:0016623,0.022015385
GO:0001099,0.019728402
GO:0008194,0.015661051
GO:0033764,0.013287313
GO:0003779,0.011959254
GO:0001221,0.009381158
GO:0033765,0.00851679
GO:0016620,0.008279408
GO:0004518,0.0072150757
GO:0004875,0.007194025
GO:0015103,0.0068823854
GO:0048019,0.0055746147
GO:0035091,0.004677044
GO:0016714,0.0044959118
GO:0052689,0.0043440815
GO:0016917,0.0041666664
GO:0019887,0.0032884094
GO:0016901,0.0030490435
GO:0008527,0.002685788
GO:0019888,0.0026268533
GO:0008484,0.0026236405
GO:0008168,0.0022994112
GO:0016649,0.0021899638
GO:0008173,0.0018783093
GO:0035173,0.0016926321
GO:0046872,0.0016143686
GO:0016405,0.0015300569
GO:0005372,0.0014450578
GO:0016279,0.001319233
GO:0000062,0.0012444141
GO:0003723,0.0011649847
GO:0016702,0.0011528837
GO:0008528,0.0010994456
GO:0016747,0.0010935527
GO:0002020,0.0009973856
GO:0008324,0.000950636
GO:0046623,0.00093978044
GO:0016502,0.0008623569
GO:0051427,0.0008411353
GO:0005343,0.00076084613
GO:0051400,0.0007449406
GO:0016723,0.0006591906
GO:0000293,0.00061922125
GO:0042054,0.0006192081
GO:0016763,0.00061006914
GO:0016803,0.00058689096
GO:0019783,0.00053084415
GO:0016670,0.0005016246
GO:0005337,0.0004792319
GO:0061650,0.0004181581
GO:0008525,0.00039550805
GO:0005216,0.0003673345
GO:0015267,0.00036436255
GO:0098631,0.00032060008
GO:0036009,0.00030710938
GO:0016624,0.0002898789
GO:0016301,0.00026343745
GO:0005244,0.00025711785
GO:0055102,0.00019541253
GO:0070704,0.00019259592
GO:0016628,0.00017659014
GO:0016504,0.00017169613
GO:0008138,0.00014306026
GO:0033549,0.00013968768
GO:0055105,0.00013381662
GO:0005402,0.00011822554
GO:0016790,0.000103487
GO:0016863,9.977655e-05
GO:0022853,8.207961e-05
GO:0015636,7.224356e-05
GO:0015391,5.247408e-05
GO:0010852,5.1804833e-05
GO:0016857,4.2453205e-05
GO:0005048,4.1314983e-05
GO:0016671,3.5096433e-05
GO:0016868,3.212373e-05
GO:0047623,3.1762036e-05
GO:0004842,3.0139989e-05
GO:0016812,3.0034887e-05
GO:0097027,3.0008228e-05
GO:0005350,2.9672114e-05
GO:0015166,2.1944135e-05
GO:0060229,2.1654154e-05
GO:0016421,1.8013763e-05
GO:0016780,1.7544413e-05
GO:0016841,1.6922128e-05
GO:0016742,1.5911692e-05
GO:0015464,1.4466621e-05
GO:0009982,1.1467055e-05
GO:0016783,1.0304046e-05
GO:0004402,9.887875e-06
GO:0120015,8.199459e-06
GO:0016706,7.940938e-06
GO:0016776,7.2832927e-06
GO:0038064,6.81683e-06
GO:0016773,6.4478018e-06
GO:0120014,5.9000135e-06
GO:0016662,5.4555717e-06
GO:0015204,5.416525e-06
GO:0070003,5.080572e-06
GO:0016861,3.170279e-06
GO:0035381,2.3011003e-06
GO:0140035,1.7657402e-06
GO:0098809,1.6552428e-06
GO:0031544,1.5411084e-06
GO:0005246,1.4477572e-06
GO:0008556,1.1269656e-06
GO:0003906,9.704186e-07
GO:0015168,9.4085664e-07
GO:0016823,6.467244e-07
GO:0019211,4.8650645e-07
GO:0016653,2.9766449e-07
GO:0016881,1.44355e-07
GO:0070990,1.06655335e-07
GO:0016899,1.0539301e-07
GO:0005499,1.0250247e-07
GO:0003909,8.3797325e-08
GO:0034061,7.295736e-08
GO:0016724,5.3819523e-08
GO:0008391,2.9249966e-08
GO:0030159,2.5373954e-08
GO:0004536,1.8118321e-08
GO:0005388,1.2406439e-08
GO:0016832,1.1890267e-08
GO:0016728,1.06916325e-08
GO:0099528,6.1080185e-09
GO:0051998,4.899352e-09
GO:0015215,3.8213925e-09
GO:0016778,1.7046087e-09
GO:0048030,1.4654661e-09
GO:0005346,9.843811e-10
GO:0050660,5.5447075e-10
GO:0016708,3.0279929e-10
GO:0004722,3.196783e-11
GO:0098879,5.509163e-16
GO:0016669,0.0
GO:0043022,0.0
GO:0016636,0.0
GO:0070259,0.0
GO:0034235,0.0
GO:0140841,0.0
GO:1901479,0.0
GO:0008517,0.0
GO:0042389,0.0
GO:0016862,0.0
GO:0032555,0.0
GO:0070002,0.0
GO:0015243,0.0
GO:0051032,0.0
GO:0004661,0.0
GO:0030519,0.0
GO:0032549,0.0
GO:0015418,0.0
GO:0034979,0.0
GO:0045289,0.0
GO:0140824,0.0
GO:2001062,0.0
GO:0050486,0.0
GO:0016715,0.0
GO:0015424,0.0
GO:0043138,0.0
GO:0140751,0.0
GO:0016677,0.0
GO:0002061,0.0
GO:0004344,0.0
GO:0016726,0.0
GO:0140394,0.0
GO:0008982,0.0
GO:0050485,0.0
GO:0016672,0.0
GO:0019972,0.0
GO:0015328,0.0
GO:0016002,0.0
GO:0089721,0.0
GO:0004673,0.0
