,values
GO:0050789,9.215522
GO:0042221,4.5935087
GO:0065009,1.0592715
GO:0065008,0.15749237
GO:0051716,0.0817691
GO:0009719,0.07409082
GO:0009607,0.02157458
GO:0044281,0.0093587255
GO:0006955,0.0071667572
GO:0009653,0.0070384135
GO:0071704,0.0015582272
GO:0009628,0.0011826823
GO:0051606,0.00072901754
GO:0048869,0.00071497925
GO:0044238,0.00062537834
GO:0051707,0.0003408802
GO:0048646,0.000263919
GO:0042440,0.00021321335
GO:0019748,0.00013758767
GO:0048856,0.00010852818
GO:0001763,7.759896e-06
GO:0003006,5.251929e-06
GO:0031503,3.9484717e-06
GO:0051641,2.4085814e-06
GO:0050900,1.0588709e-06
GO:0042330,7.310673e-07
GO:0033036,6.312756e-07
GO:0007165,2.411086e-07
GO:0007610,1.9367334e-07
GO:0044403,1.8097782e-07
GO:0070085,1.7737436e-07
GO:1903046,1.0491518e-07
GO:0030029,8.868461e-08
GO:0048870,8.061479e-08
GO:0042445,4.3306226e-08
GO:0007389,1.709459e-08
GO:0007267,1.555151e-08
GO:0019725,3.0497538e-09
GO:0051640,2.5445723e-09
GO:0019098,1.3749932e-09
GO:0045103,1.0336926e-09
GO:0048871,6.163702e-10
GO:0007275,4.0695555e-11
GO:0022412,6.9611387e-12
GO:0001776,9.187297e-13
GO:0046794,0.0
GO:0043934,0.0
GO:0019072,0.0
GO:0001906,0.0
GO:0048532,0.0
GO:0099120,0.0
GO:0098743,0.0
GO:0007623,0.0
GO:0031128,0.0
GO:0061919,0.0
GO:1990748,0.0
GO:0140253,0.0
GO:0030447,0.0
GO:0001503,0.0
GO:0002507,0.0
GO:0019827,0.0
GO:0022406,0.0
GO:0070988,0.0
GO:0051301,0.0
GO:0035821,0.0
GO:0019954,0.0
GO:0009791,0.0
GO:0061842,0.0
GO:0016999,0.0
GO:0022403,0.0
GO:0006949,0.0
GO:0036214,0.0
GO:0043696,0.0
GO:0007049,0.0
GO:0071554,0.0
GO:0019048,0.0
GO:0019079,0.0
GO:0021700,-5.7417246e-14
GO:0001775,-8.356743e-11
GO:0007272,-5.5835475e-10
GO:0001816,-8.8379254e-10
GO:0008219,-1.0423922e-09
GO:0071827,-1.5068353e-09
GO:0002440,-1.973903e-09
GO:0051235,-2.011693e-09
GO:0048589,-2.4988511e-09
GO:0071840,-4.40506e-09
GO:0002253,-7.048133e-09
GO:0007154,-9.211169e-09
GO:0002200,-2.0440522e-08
GO:0008037,-2.8859517e-08
GO:0016049,-7.197613e-08
GO:0051651,-1.0871439e-07
GO:0007163,-1.18317885e-07
GO:0007017,-2.1910643e-07
GO:0003008,-2.2884393e-07
GO:0051189,-2.320691e-07
GO:0140352,-2.6399277e-07
GO:0022402,-4.9831203e-07
GO:0045321,-5.1297775e-07
GO:0019882,-5.223901e-07
GO:0055085,-1.1339558e-06
GO:0008283,-1.301918e-06
GO:0051234,-3.512361e-06
GO:0002252,-5.6898316e-06
GO:0007155,-2.012406e-05
GO:0043500,-0.00017336204
GO:0009056,-0.0005606228
GO:0009605,-0.0021045133
GO:0032259,-0.0045563676
GO:0044237,-0.004586237
GO:0009058,-0.0117694205
GO:0006807,-0.012132706
GO:0006950,-0.31976077
