,values
ADAMTS20_meth,-0.015675815
PROK2_meth,7.40482e-14
ECEL1_meth,0.0044008754
PTPRQ_meth,0.3158586
ZNF135_meth,-0.0060576163
CRHR2_meth,0.00013610776
NAA11_meth,-1.1882588e-07
NKX6-1_meth,0.009327414
SOD3_meth,-0.009703684
NDP_meth,-0.23836131
S100A16_meth,-0.002439466
HEY2_meth,-0.0562389
CD48_meth,0.0010885269
CYP2A13_meth,0.0005570313
ELAVL4_meth,0.05445167
FBXL15_meth,-1.2696929e-09
CARTPT_meth,-0.0040744245
OGDHL_meth,-0.00047858516
GPR88_meth,-0.0010778757
IRX2_meth,-2.8508927e-08
OLIG1_meth,-3.6389446e-07
TMPRSS3_meth,-0.03921374
SLC5A7_meth,-1.2424084e-08
GPR83_meth,-0.00012815384
MYOF_meth,1.5436577e-10
KCNA6_meth,-0.018837485
TCF21_meth,-0.003644601
NKX3-2_meth,-3.045879e-11
ADRB3_meth,0.0017898657
TUSC3_meth,1.986526e-10
LIME1_meth,0.026360452
SLC6A15_meth,-2.7471582e-05
CDH20_meth,-1.290685e-06
FOXD1_meth,-0.0013394546
AGTR1_meth,0.4910682
EPB41L3_meth,-2.8752853e-09
CYBB_meth,-0.16773398
LRRTM2_meth,2.5011557e-10
COL14A1_meth,-2.7147433e-09
PTPRN_meth,-0.0013024138
CCBE1_meth,0.021507831
GBP4_meth,5.917979e-08
BARHL2_meth,-0.02919831
GABRA1_meth,-0.0023056087
BCL11B_meth,-0.07988737
MGARP_meth,-0.0005205901
STMN2_meth,1.2228422e-07
ACTA1_meth,-0.0024758119
SLC16A5_meth,-0.0001292077
JAM2_meth,-0.01815294
PTH_meth,-0.7614253
HOXB4_meth,0.00023400268
BGN_meth,0.0015064308
COL24A1_meth,-1.3595354e-09
SLC32A1_meth,3.3709475e-05
RNF217_meth,-0.0002977332
FLT1_meth,0.02596414
DDIT4L_meth,-0.020019803
PHOSPHO1_meth,0.0015119117
EPHA3_meth,0.016673796
CGB2_meth,-0.22595242
RPH3A_meth,0.00327545
SULT1A3_meth,0.01667297
FLRT2_meth,-0.39532417
AMER2_meth,-1.2052667e-08
GLRA3_meth,0.0028916607
OC90_meth,0.0062541594
SATB2_meth,4.0008643e-05
HOXD4_meth,6.172026e-05
CD27_meth,0.002700528
ZACN_meth,0.011847748
GATA2_meth,0.0030035786
KCNK2_meth,0.073746994
LHX1_meth,0.26750457
PRLHR_meth,-1.2082521e-06
LTBR_meth,-2.9140714e-09
RAB39B_meth,0.04078697
HTR1E_meth,-0.0008323075
ADCYAP1_meth,0.19281471
